"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"UNP","Union Pacific Corp","Common stocks","Large cap","Industrials","$156,148,078,773","1.75%","25.50","7.36","11.35","Analyze"
"UAL","United Continental Holdings Inc","Common stocks","Large cap","Industrials","$14,423,425,215","0.00%","-4.52","0.73","2.67","Analyze"
"UPS","United Parcel Service Inc Class B","Common stocks","Large cap","Industrials","$180,175,536,000","1.94%","23.99","1.91","12.85","Analyze"
"URI","United Rentals Inc","Common stocks","Large cap","Industrials","$23,576,695,646","0.00%","19.98","2.56","4.38","Analyze"
"UNH","Unitedhealth Group Inc","Common stocks","Large cap","Health Care","$465,396,958,163","1.13%","30.25","1.68","6.64","Analyze"
"UHS","Universal Health Services Inc.","Common stocks","Large cap","Health Care","$10,843,345,920","0.47%","8.84","0.87","1.49","Analyze"
"USB","US Bancorp","Common stocks","Large cap","Financials","$83,140,465,862","3.03%","11.21","3.65","1.55","Analyze"
"VLO","Valero Energy Corp","Common stocks","Large cap","Energy","$29,149,979,350","5.39%","-66.65","0.31","1.68","Analyze"
"VTR","Ventas, Inc","REITs","Large cap","Real Estate","$19,591,552,779","3.62%","98.04","5.26","1.77","Analyze"
"VRSN","Verisign Inc","Common stocks","Large cap","Information Technology","$27,406,382,514","0.00%","45.31","20.96","-19.56","Analyze"
"VRSK","Verisk Analytics Inc","Common stocks","Large cap","Industrials","$36,075,973,794","0.52%","51.89","12.25","13.39","Analyze"
"VZ","Verizon Communications Inc","Common stocks","Large cap","Communication Services","$221,516,526,539","5.93%","10.03","1.65","2.87","Analyze"
"VRTX","Vertex Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$56,639,704,228","0.00%","26.11","7.94","5.96","Analyze"
"VFC","VF Corp","Common stocks","Large cap","Consumer Discretionary","$27,286,584,575","2.81%","22.27","2.49","7.58","Analyze"
"VIAC","ViacomCBS Inc. - Class B","Common stocks","Large cap","Communication Services","$19,022,207,156","3.26%","5.63","0.71","0.90","Analyze"
"VTRS","Viatris Inc.","Common stocks","Large cap","Health Care","$16,024,462,762","2.47%","-8.58","0.93","0.78","Analyze"
"V","Visa Inc Class A","Common stocks","Large cap","Information Technology","$480,383,840,000","0.61%","29.66","19.93","9.61","Analyze"
"VNO","Vornado Realty Trust","REITs","Mid cap","Real Estate","$7,907,628,008","5.04%","-85.02","5.12","1.26","Analyze"
"VMC","Vulcan Materials","Common stocks","Large cap","Materials","$27,296,097,209","0.72%","41.01","5.33","4.26","Analyze"
"GWW","W.W. Grainger Inc","Common stocks","Large cap","Industrials","$25,717,261,861","1.27%","27.93","2.04","14.18","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Large cap","Consumer Staples","$43,635,518,967","3.70%","17.19","0.32","1.87","Analyze"
"WMT","Walmart Stores Inc","Common stocks","Large cap","Consumer Staples","$387,788,208,428","1.56%","48.25","0.68","4.70","Analyze"
"DIS","Walt Disney","Common stocks","Large cap","Communication Services","$276,065,585,382","0.58%","139.97","4.09","3.15","Analyze"
"WM","Waste Management Inc","Common stocks","Large cap","Industrials","$67,206,705,916","1.42%","38.75","3.88","9.45","Analyze"
"WAT","Waters Corp","Common stocks","Large cap","Health Care","$22,037,755,285","0.00%","31.77","8.05","74.78","Analyze"
"WEC","WEC Energy Group Inc","Common stocks","Large cap","Utilities","$29,893,730,503","2.83%","22.70","3.72","2.73","Analyze"
"WFC","Wells Fargo","Common stocks","Large cap","Financials","$197,230,896,939","1.24%","11.33","2.62","1.05","Analyze"
"WELL","Welltower Inc","REITs","Large cap","Real Estate","$36,110,374,843","2.91%","81.68","7.97","2.14","Analyze"
"WST","West Pharmaceutical Services Inc","Common stocks","Large cap","Health Care","$33,603,299,521","0.15%","55.36","12.53","15.47","Analyze"
"WDC","Western Digital Corp","Common stocks","Large cap","Information Technology","$18,631,934,447","0.00%","12.79","1.03","1.68","Analyze"
